RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","15 - 64_gr","BG42","2","2005Q3","perc","57.5"
"r_2","0","BG","0","2005Q4","perc","49.6"
"r_2","0","BG","1","2005Q4","perc","55.4"
"r_2","0","BG","2","2005Q4","perc","44.2"
"r_2","0","BG31","0","2005Q4","perc","43.2"
"r_2","0","BG31","1","2005Q4","perc","47.4"
"r_2","0","BG31","2","2005Q4","perc","39.2"
"r_2","0","BG32","0","2005Q4","perc","48.4"
"r_2","0","BG32","1","2005Q4","perc","54"
"r_2","0","BG32","2","2005Q4","perc","43.2"
"r_2","0","BG33","0","2005Q4","perc","51.3"
"r_2","0","BG33","1","2005Q4","perc","59"
"r_2","0","BG33","2","2005Q4","perc","44.1"
"r_2","0","BG34","0","2005Q4","perc","48.8"
"r_2","0","BG34","1","2005Q4","perc","56.7"
"r_2","0","BG34","2","2005Q4","perc","41.4"
"r_2","0","BG41","0","2005Q4","perc","54.1"
"r_2","0","BG41","1","2005Q4","perc","59.5"
"r_2","0","BG41","2","2005Q4","perc","49.3"
"r_2","0","BG42","0","2005Q4","perc","47.7"
"r_2","0","BG42","1","2005Q4","perc","52.7"
"r_2","0","BG42","2","2005Q4","perc","43.1"
"r_2","15 - 64_gr","BG","0","2005Q4","perc","62.2"
"r_2","15 - 64_gr","BG","1","2005Q4","perc","67.4"
"r_2","15 - 64_gr","BG","2","2005Q4","perc","57.2"
"r_2","15 - 64_gr","BG31","0","2005Q4","perc","57.3"
"r_2","15 - 64_gr","BG31","1","2005Q4","perc","60.3"
"r_2","15 - 64_gr","BG31","2","2005Q4","perc","54.2"
"r_2","15 - 64_gr","BG32","0","2005Q4","perc","61.7"
"r_2","15 - 64_gr","BG32","1","2005Q4","perc","66.9"
"r_2","15 - 64_gr","BG32","2","2005Q4","perc","56.6"
"r_2","15 - 64_gr","BG33","0","2005Q4","perc","62.5"
"r_2","15 - 64_gr","BG33","1","2005Q4","perc","69.8"
"r_2","15 - 64_gr","BG33","2","2005Q4","perc","55.4"
"r_2","15 - 64_gr","BG34","0","2005Q4","perc","60.7"
"r_2","15 - 64_gr","BG34","1","2005Q4","perc","67.8"
"r_2","15 - 64_gr","BG34","2","2005Q4","perc","53.7"
"r_2","15 - 64_gr","BG41","0","2005Q4","perc","67"
"r_2","15 - 64_gr","BG41","1","2005Q4","perc","71.8"
"r_2","15 - 64_gr","BG41","2","2005Q4","perc","62.4"
"r_2","15 - 64_gr","BG42","0","2005Q4","perc","59.7"
"r_2","15 - 64_gr","BG42","1","2005Q4","perc","64.2"
"r_2","15 - 64_gr","BG42","2","2005Q4","perc","55.4"
"r_2","0","BG","0","2006Q1","perc","48.9"
"r_2","0","BG","1","2006Q1","perc","54.1"
"r_2","0","BG","2","2006Q1","perc","44.1"
"r_2","0","BG31","0","2006Q1","perc","41.8"
"r_2","0","BG31","1","2006Q1","perc","45.5"
"r_2","0","BG31","2","2006Q1","perc","38.4"
"r_2","0","BG32","0","2006Q1","perc","47"
"r_2","0","BG32","1","2006Q1","perc","53.2"
"r_2","0","BG32","2","2006Q1","perc","41.3"
"r_2","0","BG33","0","2006Q1","perc","50.5"
"r_2","0","BG33","1","2006Q1","perc","58.3"
"r_2","0","BG33","2","2006Q1","perc","43.2"
"r_2","0","BG34","0","2006Q1","perc","48.2"
"r_2","0","BG34","1","2006Q1","perc","54.4"
"r_2","0","BG34","2","2006Q1","perc","42.3"
"r_2","0","BG41","0","2006Q1","perc","54.6"
"r_2","0","BG41","1","2006Q1","perc","59.3"
"r_2","0","BG41","2","2006Q1","perc","50.3"
"r_2","0","BG42","0","2006Q1","perc","46.1"
"r_2","0","BG42","1","2006Q1","perc","50.2"
"r_2","0","BG42","2","2006Q1","perc","42.3"
"r_2","15 - 64_gr","BG","0","2006Q1","perc","61.5"
"r_2","15 - 64_gr","BG","1","2006Q1","perc","65.9"
"r_2","15 - 64_gr","BG","2","2006Q1","perc","57.1"
"r_2","15 - 64_gr","BG31","0","2006Q1","perc","56.2"
"r_2","15 - 64_gr","BG31","1","2006Q1","perc","58.5"
"r_2","15 - 64_gr","BG31","2","2006Q1","perc","54"
"r_2","15 - 64_gr","BG32","0","2006Q1","perc","59.3"
"r_2","15 - 64_gr","BG32","1","2006Q1","perc","64.9"
"r_2","15 - 64_gr","BG32","2","2006Q1","perc","53.9"
"r_2","15 - 64_gr","BG33","0","2006Q1","perc","62.2"
"r_2","15 - 64_gr","BG33","1","2006Q1","perc","69.5"
"r_2","15 - 64_gr","BG33","2","2006Q1","perc","55.1"
"r_2","15 - 64_gr","BG34","0","2006Q1","perc","60.9"
"r_2","15 - 64_gr","BG34","1","2006Q1","perc","66.5"
"r_2","15 - 64_gr","BG34","2","2006Q1","perc","55.5"
"r_2","15 - 64_gr","BG41","0","2006Q1","perc","67.2"
"r_2","15 - 64_gr","BG41","1","2006Q1","perc","71.3"
"r_2","15 - 64_gr","BG41","2","2006Q1","perc","63.3"
"r_2","15 - 64_gr","BG42","0","2006Q1","perc","57.7"
"r_2","15 - 64_gr","BG42","1","2006Q1","perc","61"
"r_2","15 - 64_gr","BG42","2","2006Q1","perc","54.4"
"r_2","0","BG","0","2006Q2","perc","51.8"
"r_2","0","BG","1","2006Q2","perc","57.2"
"r_2","0","BG","2","2006Q2","perc","46.8"
"r_2","0","BG31","0","2006Q2","perc","44.2"
"r_2","0","BG31","1","2006Q2","perc","49"
"r_2","0","BG31","2","2006Q2","perc","39.8"
"r_2","0","BG32","0","2006Q2","perc","49.7"
"r_2","0","BG32","1","2006Q2","perc","55.3"
"r_2","0","BG32","2","2006Q2","perc","44.6"
"r_2","0","BG33","0","2006Q2","perc","54.1"
"r_2","0","BG33","1","2006Q2","perc","61"
"r_2","0","BG33","2","2006Q2","perc","47.8"
"r_2","0","BG34","0","2006Q2","perc","50.1"
"r_2","0","BG34","1","2006Q2","perc","55.8"
"r_2","0","BG34","2","2006Q2","perc","44.9"
"r_2","0","BG41","0","2006Q2","perc","56.9"
"r_2","0","BG41","1","2006Q2","perc","62.2"
"r_2","0","BG41","2","2006Q2","perc","52.2"
"r_2","0","BG42","0","2006Q2","perc","50.3"
"r_2","0","BG42","1","2006Q2","perc","55.2"
"r_2","0","BG42","2","2006Q2","perc","45.7"
"r_2","15 - 64_gr","BG","0","2006Q2","perc","65"
"r_2","15 - 64_gr","BG","1","2006Q2","perc","69.4"
"r_2","15 - 64_gr","BG","2","2006Q2","perc","60.6"
"r_2","15 - 64_gr","BG31","0","2006Q2","perc","59.8"
"r_2","15 - 64_gr","BG31","1","2006Q2","perc","63.3"
"r_2","15 - 64_gr","BG31","2","2006Q2","perc","56.3"
"r_2","15 - 64_gr","BG32","0","2006Q2","perc","62.7"
"r_2","15 - 64_gr","BG32","1","2006Q2","perc","67.7"
"r_2","15 - 64_gr","BG32","2","2006Q2","perc","57.8"
"r_2","15 - 64_gr","BG33","0","2006Q2","perc","66.2"
"r_2","15 - 64_gr","BG33","1","2006Q2","perc","72"
"r_2","15 - 64_gr","BG33","2","2006Q2","perc","60.4"
"r_2","15 - 64_gr","BG34","0","2006Q2","perc","63.7"
"r_2","15 - 64_gr","BG34","1","2006Q2","perc","68.7"
"r_2","15 - 64_gr","BG34","2","2006Q2","perc","58.8"
"r_2","15 - 64_gr","BG41","0","2006Q2","perc","69.8"
"r_2","15 - 64_gr","BG41","1","2006Q2","perc","74"
"r_2","15 - 64_gr","BG41","2","2006Q2","perc","65.9"
"r_2","15 - 64_gr","BG42","0","2006Q2","perc","62.6"
"r_2","15 - 64_gr","BG42","1","2006Q2","perc","66.6"
"r_2","15 - 64_gr","BG42","2","2006Q2","perc","58.6"
"r_2","0","BG","0","2006Q3","perc","52.7"
"r_2","0","BG","1","2006Q3","perc","57.9"
"r_2","0","BG","2","2006Q3","perc","48"
"r_2","0","BG31","0","2006Q3","perc","45.6"
"r_2","0","BG31","1","2006Q3","perc","50.9"
"r_2","0","BG31","2","2006Q3","perc","40.7"
"r_2","0","BG32","0","2006Q3","perc","50.9"
"r_2","0","BG32","1","2006Q3","perc","55.8"
"r_2","0","BG32","2","2006Q3","perc","46.5"
"r_2","0","BG33","0","2006Q3","perc","55.9"
"r_2","0","BG33","1","2006Q3","perc","61.9"
"r_2","0","BG33","2","2006Q3","perc","50.3"
"r_2","0","BG34","0","2006Q3","perc","51.6"
"r_2","0","BG34","1","2006Q3","perc","56.7"
"r_2","0","BG34","2","2006Q3","perc","46.9"
"r_2","0","BG41","0","2006Q3","perc","57.1"
"r_2","0","BG41","1","2006Q3","perc","62.1"
"r_2","0","BG41","2","2006Q3","perc","52.5"
"r_2","0","BG42","0","2006Q3","perc","51"
"r_2","0","BG42","1","2006Q3","perc","56.1"
"r_2","0","BG42","2","2006Q3","perc","46.3"
"r_2","15 - 64_gr","BG","0","2006Q3","perc","66.2"
"r_2","15 - 64_gr","BG","1","2006Q3","perc","70"
"r_2","15 - 64_gr","BG","2","2006Q3","perc","62.4"
"r_2","15 - 64_gr","BG31","0","2006Q3","perc","61.8"
"r_2","15 - 64_gr","BG31","1","2006Q3","perc","65.8"
"r_2","15 - 64_gr","BG31","2","2006Q3","perc","57.8"
"r_2","15 - 64_gr","BG32","0","2006Q3","perc","64.1"
"r_2","15 - 64_gr","BG32","1","2006Q3","perc","68.1"
"r_2","15 - 64_gr","BG32","2","2006Q3","perc","60.2"
"r_2","15 - 64_gr","BG33","0","2006Q3","perc","68"
"r_2","15 - 64_gr","BG33","1","2006Q3","perc","73.2"
"r_2","15 - 64_gr","BG33","2","2006Q3","perc","62.9"
"r_2","15 - 64_gr","BG34","0","2006Q3","perc","64.6"
"r_2","15 - 64_gr","BG34","1","2006Q3","perc","68.3"
"r_2","15 - 64_gr","BG34","2","2006Q3","perc","60.9"
"r_2","15 - 64_gr","BG41","0","2006Q3","perc","70.8"
"r_2","15 - 64_gr","BG41","1","2006Q3","perc","73.9"
"r_2","15 - 64_gr","BG41","2","2006Q3","perc","67.7"
"r_2","15 - 64_gr","BG42","0","2006Q3","perc","63.5"
"r_2","15 - 64_gr","BG42","1","2006Q3","perc","67.3"
"r_2","15 - 64_gr","BG42","2","2006Q3","perc","59.7"
"r_2","0","BG","0","2006Q4","perc","51.8"
"r_2","0","BG","1","2006Q4","perc","57.4"
"r_2","0","BG","2","2006Q4","perc","46.6"
"r_2","0","BG31","0","2006Q4","perc","46.4"
"r_2","0","BG31","1","2006Q4","perc","52.1"
"r_2","0","BG31","2","2006Q4","perc","41"
"r_2","0","BG32","0","2006Q4","perc","49.5"
"r_2","0","BG32","1","2006Q4","perc","55.2"
"r_2","0","BG32","2","2006Q4","perc","44.3"
"r_2","0","BG33","0","2006Q4","perc","53.2"
"r_2","0","BG33","1","2006Q4","perc","60.7"
"r_2","0","BG33","2","2006Q4","perc","46.2"
"r_2","0","BG34","0","2006Q4","perc","51"
"r_2","0","BG34","1","2006Q4","perc","56.9"
"r_2","0","BG34","2","2006Q4","perc","45.4"
"r_2","0","BG41","0","2006Q4","perc","56.7"
"r_2","0","BG41","1","2006Q4","perc","61.6"
"r_2","0","BG41","2","2006Q4","perc","52.2"
"r_2","0","BG42","0","2006Q4","perc","49.4"
"r_2","0","BG42","1","2006Q4","perc","54.6"
"r_2","0","BG42","2","2006Q4","perc","44.6"
"r_2","15 - 64_gr","BG","0","2006Q4","perc","65.3"
"r_2","15 - 64_gr","BG","1","2006Q4","perc","69.8"
"r_2","15 - 64_gr","BG","2","2006Q4","perc","60.8"
"r_2","15 - 64_gr","BG31","0","2006Q4","perc","62.7"
"r_2","15 - 64_gr","BG31","1","2006Q4","perc","67.7"
"r_2","15 - 64_gr","BG31","2","2006Q4","perc","57.7"
"r_2","15 - 64_gr","BG32","0","2006Q4","perc","63"
"r_2","15 - 64_gr","BG32","1","2006Q4","perc","67.7"
"r_2","15 - 64_gr","BG32","2","2006Q4","perc","58.4"
"r_2","15 - 64_gr","BG33","0","2006Q4","perc","65.4"
"r_2","15 - 64_gr","BG33","1","2006Q4","perc","72.5"
"r_2","15 - 64_gr","BG33","2","2006Q4","perc","58.4"
"r_2","15 - 64_gr","BG34","0","2006Q4","perc","63.9"
"r_2","15 - 64_gr","BG34","1","2006Q4","perc","68.2"
"r_2","15 - 64_gr","BG34","2","2006Q4","perc","59.6"
"r_2","15 - 64_gr","BG41","0","2006Q4","perc","70.3"
"r_2","15 - 64_gr","BG41","1","2006Q4","perc","73.6"
"r_2","15 - 64_gr","BG41","2","2006Q4","perc","67"
"r_2","15 - 64_gr","BG42","0","2006Q4","perc","62"
"r_2","15 - 64_gr","BG42","1","2006Q4","perc","66.4"
"r_2","15 - 64_gr","BG42","2","2006Q4","perc","57.7"
"r_2","0","BG","0","2007Q1","perc","51.3"
"r_2","0","BG","1","2007Q1","perc","56.8"
"r_2","0","BG","2","2007Q1","perc","46.4"
"r_2","0","BG31","0","2007Q1","perc","44.4"
"r_2","0","BG31","1","2007Q1","perc","49.4"
"r_2","0","BG31","2","2007Q1","perc","39.7"
"r_2","0","BG32","0","2007Q1","perc","49.4"
"r_2","0","BG32","1","2007Q1","perc","55.3"
"r_2","0","BG32","2","2007Q1","perc","43.9"
"r_2","0","BG33","0","2007Q1","perc","53.4"
"r_2","0","BG33","1","2007Q1","perc","61"
"r_2","0","BG33","2","2007Q1","perc","46.2"
"r_2","0","BG34","0","2007Q1","perc","49.2"
"r_2","0","BG34","1","2007Q1","perc","55.3"
"r_2","0","BG34","2","2007Q1","perc","43.5"
"r_2","0","BG41","0","2007Q1","perc","56.8"
"r_2","0","BG41","1","2007Q1","perc","61"
"r_2","0","BG41","2","2007Q1","perc","53"
"r_2","0","BG42","0","2007Q1","perc","49.6"
"r_2","0","BG42","1","2007Q1","perc","54.8"
"r_2","0","BG42","2","2007Q1","perc","44.8"
"r_2","15 - 64_gr","BG","0","2007Q1","perc","64.9"
"r_2","15 - 64_gr","BG","1","2007Q1","perc","69.4"
"r_2","15 - 64_gr","BG","2","2007Q1","perc","60.5"
"r_2","15 - 64_gr","BG31","0","2007Q1","perc","59.7"
"r_2","15 - 64_gr","BG31","1","2007Q1","perc","64"
"r_2","15 - 64_gr","BG31","2","2007Q1","perc","55.4"
"r_2","15 - 64_gr","BG32","0","2007Q1","perc","63.1"
"r_2","15 - 64_gr","BG32","1","2007Q1","perc","68.4"
"r_2","15 - 64_gr","BG32","2","2007Q1","perc","57.9"
"r_2","15 - 64_gr","BG33","0","2007Q1","perc","65.9"
"r_2","15 - 64_gr","BG33","1","2007Q1","perc","73.4"
"r_2","15 - 64_gr","BG33","2","2007Q1","perc","58.6"
"r_2","15 - 64_gr","BG34","0","2007Q1","perc","62.7"
"r_2","15 - 64_gr","BG34","1","2007Q1","perc","67.4"
"r_2","15 - 64_gr","BG34","2","2007Q1","perc","58"
"r_2","15 - 64_gr","BG41","0","2007Q1","perc","70.4"
"r_2","15 - 64_gr","BG41","1","2007Q1","perc","73.4"
"r_2","15 - 64_gr","BG41","2","2007Q1","perc","67.6"
"r_2","15 - 64_gr","BG42","0","2007Q1","perc","62.3"
"r_2","15 - 64_gr","BG42","1","2007Q1","perc","66.7"
"r_2","15 - 64_gr","BG42","2","2007Q1","perc","58"
"r_2","0","BG","0","2007Q2","perc","52.6"
"r_2","0","BG","1","2007Q2","perc","58.1"
"r_2","0","BG","2","2007Q2","perc","47.5"
"r_2","0","BG31","0","2007Q2","perc","46.1"
"r_2","0","BG31","1","2007Q2","perc","50.8"
"r_2","0","BG31","2","2007Q2","perc","41.8"
"r_2","0","BG32","0","2007Q2","perc","51.5"
"r_2","0","BG32","1","2007Q2","perc","58.4"
"r_2","0","BG32","2","2007Q2","perc","45.1"
"r_2","0","BG33","0","2007Q2","perc","54.1"
"r_2","0","BG33","1","2007Q2","perc","61.6"
"r_2","0","BG33","2","2007Q2","perc","47.2"
"r_2","0","BG34","0","2007Q2","perc","50.5"
"r_2","0","BG34","1","2007Q2","perc","56.1"
"r_2","0","BG34","2","2007Q2","perc","45.2"
"r_2","0","BG41","0","2007Q2","perc","57.1"
"r_2","0","BG41","1","2007Q2","perc","61.9"
"r_2","0","BG41","2","2007Q2","perc","52.7"
"r_2","0","BG42","0","2007Q2","perc","51.5"
"r_2","0","BG42","1","2007Q2","perc","56.4"
"r_2","0","BG42","2","2007Q2","perc","47"
"r_2","15 - 64_gr","BG","0","2007Q2","perc","66.1"
"r_2","15 - 64_gr","BG","1","2007Q2","perc","70.3"
"r_2","15 - 64_gr","BG","2","2007Q2","perc","62"
"r_2","15 - 64_gr","BG31","0","2007Q2","perc","62.3"
"r_2","15 - 64_gr","BG31","1","2007Q2","perc","65.9"
"r_2","15 - 64_gr","BG31","2","2007Q2","perc","58.7"
"r_2","15 - 64_gr","BG32","0","2007Q2","perc","64.8"
"r_2","15 - 64_gr","BG32","1","2007Q2","perc","71.2"
"r_2","15 - 64_gr","BG32","2","2007Q2","perc","58.7"
"r_2","15 - 64_gr","BG33","0","2007Q2","perc","66.5"
"r_2","15 - 64_gr","BG33","1","2007Q2","perc","73.4"
"r_2","15 - 64_gr","BG33","2","2007Q2","perc","59.7"
"r_2","15 - 64_gr","BG34","0","2007Q2","perc","64"
"r_2","15 - 64_gr","BG34","1","2007Q2","perc","68.3"
"r_2","15 - 64_gr","BG34","2","2007Q2","perc","59.7"
"r_2","15 - 64_gr","BG41","0","2007Q2","perc","70.2"
"r_2","15 - 64_gr","BG41","1","2007Q2","perc","73.3"
"r_2","15 - 64_gr","BG41","2","2007Q2","perc","67.3"
"r_2","15 - 64_gr","BG42","0","2007Q2","perc","64.5"
"r_2","15 - 64_gr","BG42","1","2007Q2","perc","67.7"
"r_2","15 - 64_gr","BG42","2","2007Q2","perc","61.3"
"r_2","0","BG","0","2007Q3","perc","53.5"
"r_2","0","BG","1","2007Q3","perc","59"
"r_2","0","BG","2","2007Q3","perc","48.4"
"r_2","0","BG31","0","2007Q3","perc","47.5"
"r_2","0","BG31","1","2007Q3","perc","52.4"
"r_2","0","BG31","2","2007Q3","perc","43"
"r_2","0","BG32","0","2007Q3","perc","51.5"
"r_2","0","BG32","1","2007Q3","perc","57.8"
"r_2","0","BG32","2","2007Q3","perc","45.7"
"r_2","0","BG33","0","2007Q3","perc","55.6"
"r_2","0","BG33","1","2007Q3","perc","62"
"r_2","0","BG33","2","2007Q3","perc","49.7"
"r_2","0","BG34","0","2007Q3","perc","51.1"
"r_2","0","BG34","1","2007Q3","perc","57"
"r_2","0","BG34","2","2007Q3","perc","45.6"
"r_2","0","BG41","0","2007Q3","perc","58.3"
"r_2","0","BG41","1","2007Q3","perc","63.9"
"r_2","0","BG41","2","2007Q3","perc","53.2"
"r_2","0","BG42","0","2007Q3","perc","51.9"
"r_2","0","BG42","1","2007Q3","perc","56.5"
"r_2","0","BG42","2","2007Q3","perc","47.6"
"r_2","15 - 64_gr","BG","0","2007Q3","perc","67.2"
"r_2","15 - 64_gr","BG","1","2007Q3","perc","71.2"
"r_2","15 - 64_gr","BG","2","2007Q3","perc","63.3"
"r_2","15 - 64_gr","BG31","0","2007Q3","perc","64.7"
"r_2","15 - 64_gr","BG31","1","2007Q3","perc","68.2"
"r_2","15 - 64_gr","BG31","2","2007Q3","perc","61.1"
"r_2","15 - 64_gr","BG32","0","2007Q3","perc","64.9"
"r_2","15 - 64_gr","BG32","1","2007Q3","perc","70.1"
"r_2","15 - 64_gr","BG32","2","2007Q3","perc","59.8"
"r_2","15 - 64_gr","BG33","0","2007Q3","perc","68.4"
"r_2","15 - 64_gr","BG33","1","2007Q3","perc","74.1"
"r_2","15 - 64_gr","BG33","2","2007Q3","perc","62.8"
"r_2","15 - 64_gr","BG34","0","2007Q3","perc","64.4"
"r_2","15 - 64_gr","BG34","1","2007Q3","perc","69.1"
"r_2","15 - 64_gr","BG34","2","2007Q3","perc","59.7"
"r_2","15 - 64_gr","BG41","0","2007Q3","perc","71.7"
"r_2","15 - 64_gr","BG41","1","2007Q3","perc","74.9"
"r_2","15 - 64_gr","BG41","2","2007Q3","perc","68.5"
"r_2","15 - 64_gr","BG42","0","2007Q3","perc","65"
"r_2","15 - 64_gr","BG42","1","2007Q3","perc","68"
"r_2","15 - 64_gr","BG42","2","2007Q3","perc","62.1"
"r_2","0","BG","0","2007Q4","perc","53"
"r_2","0","BG","1","2007Q4","perc","58.8"
"r_2","0","BG","2","2007Q4","perc","47.6"
"r_2","0","BG31","0","2007Q4","perc","47.7"
"r_2","0","BG31","1","2007Q4","perc","53.1"
"r_2","0","BG31","2","2007Q4","perc","42.8"
"r_2","0","BG32","0","2007Q4","perc","48.6"
"r_2","0","BG32","1","2007Q4","perc","54.7"
"r_2","0","BG32","2","2007Q4","perc","43"
"r_2","0","BG33","0","2007Q4","perc","55"
"r_2","0","BG33","1","2007Q4","perc","62.2"
"r_2","0","BG33","2","2007Q4","perc","48.4"
"r_2","0","BG34","0","2007Q4","perc","51.3"
"r_2","0","BG34","1","2007Q4","perc","58"
"r_2","0","BG34","2","2007Q4","perc","45.1"
"r_2","0","BG41","0","2007Q4","perc","58.7"
"r_2","0","BG41","1","2007Q4","perc","64.3"
"r_2","0","BG41","2","2007Q4","perc","53.7"
"r_2","0","BG42","0","2007Q4","perc","50.9"
"r_2","0","BG42","1","2007Q4","perc","55.9"
"r_2","0","BG42","2","2007Q4","perc","46.3"
"r_2","15 - 64_gr","BG","0","2007Q4","perc","67.1"
"r_2","15 - 64_gr","BG","1","2007Q4","perc","71.5"
"r_2","15 - 64_gr","BG","2","2007Q4","perc","62.7"
"r_2","15 - 64_gr","BG31","0","2007Q4","perc","64.4"
"r_2","15 - 64_gr","BG31","1","2007Q4","perc","68.5"
"r_2","15 - 64_gr","BG31","2","2007Q4","perc","60.2"
"r_2","15 - 64_gr","BG32","0","2007Q4","perc","62.9"
"r_2","15 - 64_gr","BG32","1","2007Q4","perc","67.8"
"r_2","15 - 64_gr","BG32","2","2007Q4","perc","58.1"
"r_2","15 - 64_gr","BG33","0","2007Q4","perc","67.7"
"r_2","15 - 64_gr","BG33","1","2007Q4","perc","74.3"
"r_2","15 - 64_gr","BG33","2","2007Q4","perc","61.2"
"r_2","15 - 64_gr","BG34","0","2007Q4","perc","64.5"
"r_2","15 - 64_gr","BG34","1","2007Q4","perc","69.7"
"r_2","15 - 64_gr","BG34","2","2007Q4","perc","59.3"
"r_2","15 - 64_gr","BG41","0","2007Q4","perc","72.8"
"r_2","15 - 64_gr","BG41","1","2007Q4","perc","76.2"
"r_2","15 - 64_gr","BG41","2","2007Q4","perc","69.5"
"r_2","15 - 64_gr","BG42","0","2007Q4","perc","64.4"
"r_2","15 - 64_gr","BG42","1","2007Q4","perc","68.4"
"r_2","15 - 64_gr","BG42","2","2007Q4","perc","60.6"
"r_2","0","BG","0","2008Q1","perc","53.2"
"r_2","0","BG","1","2008Q1","perc","58.9"
"r_2","0","BG","2","2008Q1","perc","47.9"
"r_2","0","BG31","0","2008Q1","perc","47.2"
"r_2","0","BG31","1","2008Q1","perc","51.5"
"r_2","0","BG31","2","2008Q1","perc","43.2"
"r_2","0","BG32","0","2008Q1","perc","48.9"
"r_2","0","BG32","1","2008Q1","perc","55.9"
"r_2","0","BG32","2","2008Q1","perc","42.5"
"r_2","0","BG33","0","2008Q1","perc","55.3"
"r_2","0","BG33","1","2008Q1","perc","62.7"
"r_2","0","BG33","2","2008Q1","perc","48.4"
"r_2","0","BG34","0","2008Q1","perc","51.4"
"r_2","0","BG34","1","2008Q1","perc","58.4"
"r_2","0","BG34","2","2008Q1","perc","44.8"
"r_2","0","BG41","0","2008Q1","perc","58.8"
"r_2","0","BG41","1","2008Q1","perc","63.8"
"r_2","0","BG41","2","2008Q1","perc","54.3"
"r_2","0","BG42","0","2008Q1","perc","51.6"
"r_2","0","BG42","1","2008Q1","perc","56.3"
"r_2","0","BG42","2","2008Q1","perc","47.2"
"r_2","15 - 64_gr","BG","0","2008Q1","perc","67"
"r_2","15 - 64_gr","BG","1","2008Q1","perc","71.5"
"r_2","15 - 64_gr","BG","2","2008Q1","perc","62.6"
"r_2","15 - 64_gr","BG31","0","2008Q1","perc","62.7"
"r_2","15 - 64_gr","BG31","1","2008Q1","perc","65.4"
"r_2","15 - 64_gr","BG31","2","2008Q1","perc","60"
"r_2","15 - 64_gr","BG32","0","2008Q1","perc","62.9"
"r_2","15 - 64_gr","BG32","1","2008Q1","perc","69.1"
"r_2","15 - 64_gr","BG32","2","2008Q1","perc","56.8"
"r_2","15 - 64_gr","BG33","0","2008Q1","perc","67.7"
"r_2","15 - 64_gr","BG33","1","2008Q1","perc","74.4"
"r_2","15 - 64_gr","BG33","2","2008Q1","perc","61"
"r_2","15 - 64_gr","BG34","0","2008Q1","perc","65"
"r_2","15 - 64_gr","BG34","1","2008Q1","perc","71"
"r_2","15 - 64_gr","BG34","2","2008Q1","perc","59"
"r_2","15 - 64_gr","BG41","0","2008Q1","perc","72.6"
"r_2","15 - 64_gr","BG41","1","2008Q1","perc","76"
"r_2","15 - 64_gr","BG41","2","2008Q1","perc","69.4"
"r_2","15 - 64_gr","BG42","0","2008Q1","perc","64.9"
"r_2","15 - 64_gr","BG42","1","2008Q1","perc","68.6"
"r_2","15 - 64_gr","BG42","2","2008Q1","perc","61.3"
"r_2","0","BG","0","2008Q2","perc","54.1"
"r_2","0","BG","1","2008Q2","perc","59.9"
"r_2","0","BG","2","2008Q2","perc","48.7"
"r_2","0","BG31","0","2008Q2","perc","47.6"
"r_2","0","BG31","1","2008Q2","perc","52.3"
"r_2","0","BG31","2","2008Q2","perc","43.2"
"r_2","0","BG32","0","2008Q2","perc","50.6"
"r_2","0","BG32","1","2008Q2","perc","57.5"
"r_2","0","BG32","2","2008Q2","perc","44.3"
"r_2","0","BG33","0","2008Q2","perc","55.2"
"r_2","0","BG33","1","2008Q2","perc","62.6"
"r_2","0","BG33","2","2008Q2","perc","48.3"
"r_2","0","BG34","0","2008Q2","perc","52.4"
"r_2","0","BG34","1","2008Q2","perc","59.4"
"r_2","0","BG34","2","2008Q2","perc","45.9"
"r_2","0","BG41","0","2008Q2","perc","58.9"
"r_2","0","BG41","1","2008Q2","perc","63.9"
"r_2","0","BG41","2","2008Q2","perc","54.4"
"r_2","0","BG42","0","2008Q2","perc","53.9"
"r_2","0","BG42","1","2008Q2","perc","59"
"r_2","0","BG42","2","2008Q2","perc","49.2"
"r_2","15 - 64_gr","BG","0","2008Q2","perc","67.9"
"r_2","15 - 64_gr","BG","1","2008Q2","perc","72.5"
"r_2","15 - 64_gr","BG","2","2008Q2","perc","63.3"
"r_2","15 - 64_gr","BG31","0","2008Q2","perc","62.9"
"r_2","15 - 64_gr","BG31","1","2008Q2","perc","66.3"
"r_2","15 - 64_gr","BG31","2","2008Q2","perc","59.5"
"r_2","15 - 64_gr","BG32","0","2008Q2","perc","64.4"
"r_2","15 - 64_gr","BG32","1","2008Q2","perc","71"
"r_2","15 - 64_gr","BG32","2","2008Q2","perc","58"
"r_2","15 - 64_gr","BG33","0","2008Q2","perc","67.7"
"r_2","15 - 64_gr","BG33","1","2008Q2","perc","74.7"
"r_2","15 - 64_gr","BG33","2","2008Q2","perc","60.9"
"r_2","15 - 64_gr","BG34","0","2008Q2","perc","67.1"
"r_2","15 - 64_gr","BG34","1","2008Q2","perc","73.3"
"r_2","15 - 64_gr","BG34","2","2008Q2","perc","60.9"
"r_2","15 - 64_gr","BG41","0","2008Q2","perc","72.8"
"r_2","15 - 64_gr","BG41","1","2008Q2","perc","75.9"
"r_2","15 - 64_gr","BG41","2","2008Q2","perc","69.8"
"r_2","15 - 64_gr","BG42","0","2008Q2","perc","66.7"
"r_2","15 - 64_gr","BG42","1","2008Q2","perc","70.5"
"r_2","15 - 64_gr","BG42","2","2008Q2","perc","63"
